Debug Diagnostic Log
========================================================================================================================
Generated: 1/6/2026, 8:55:43 AM
Total Events: 22017
Game Time: 177s

CURRENT STATE:
  Player Level: 2
  Player HP: 184/184
  Player Mana: 81/81
  Player Stamina: 113/113
  Player Shield: 157 (cap: 184)
  Base Player MaxMana: 70
  Stat Spends: {"vit":0,"int":0,"str":0,"def":0,"agi":0}


======================================== undefined ========================================
[170.36s]  undefined | type:"ENEMY_AI_STATE", enemy:"warrior", role:"DPS", hp:119, mana:40, position:{"x":4453,"y":1902}, speed:90, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:32, hasSpawnTarget:true, team:"teamC"
[170.57s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"slash", required:4, current:1, max:40
[170.60s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 236", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:81, mana:2, speed:110
[170.60s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:3, reason:"healer_priority"
[170.60s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 6", side:"South", wallHP:141, distance:138, intactWalls:4, nearbyHostiles:1
[170.62s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"dps_attack_host", target:"knight", targetType:"enemy", distance:33
[170.62s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:6, reason:"damage_rotation"
[170.64s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"East", wallHP:200, distance:138, intactWalls:4, nearbyHostiles:1
[170.64s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:2, reason:"damage_rotation"
[170.69s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_life_leech", required:8, current:4, max:60
[170.69s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:135, intactWalls:4, nearbyHostiles:1
[170.70s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4345,"y":2025}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.70s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4344,"y":2028}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.70s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2066}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.70s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 359", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:52, hp:81, mana:17, speed:110
[170.70s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"North", wallHP:200, distance:139, intactWalls:4, nearbyHostiles:1
[170.70s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:2, reason:"damage_rotation"
[170.72s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1359, hp:63, mana:25, speed:110
[170.72s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:50, hp:50, mana:4, speed:110
[170.72s]  undefined | type:"CREATURE_DEATH", creature:"wolf", boss:false, hp:"0.0", damageReceived:"63.0"
[170.75s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:12, max:40
[170.75s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:5, reason:"damage_rotation"
[170.75s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:218
[170.75s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:220
[170.75s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"warrior", distance:74, requiredRange:30, inWater:false
[170.75s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"warrior", distance:56, requiredRange:30, inWater:false
[170.75s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:7, reason:"damage_rotation"
[170.75s]  undefined | type:"ENEMY_AI_TARGET", enemy:"warrior", decision:"outpost_focus", target:"Flag 6", targetOwner:"player", distance:218
[170.80s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2076}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.80s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4347,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.80s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_combat", target:"Flag 6", side:"South"
[170.80s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Mage 320", distance:64, requiredRange:29, inWater:false
[170.82s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4345,"y":2026}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.85s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4346,"y":2025}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.85s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4345,"y":2025}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.85s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 359", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:64, hp:81, mana:18, speed:110
[170.85s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4348,"y":2023}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.85s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"attack_walls", target:"Flag 2", targetOwner:"teamB", wallsIntact:4
[170.85s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_combat", target:"Flag 6", side:"South"
[170.85s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"slash", required:4, current:3, reason:"damage_rotation"
[170.87s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"warrior", distance:32, requiredRange:30, inWater:false
[170.87s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_life_leech", required:8, current:1, reason:"damage_rotation"
[170.87s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:137, intactWalls:4, nearbyHostiles:1
[170.89s]  undefined | type:"MANA_STARVED", unit:"Mage 773", kind:"friendly", ability:"ward_barrier", required:22, current:7, max:60
[170.89s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 359", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:68, hp:81, mana:18, speed:110
[170.92s]  undefined | type:"MANA_STARVED", unit:"Mage Guard 1", kind:"friendly", ability:"heal_burst", required:18, current:9, max:60
[170.92s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:465, hp:63, mana:6, speed:110
[170.92s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4319,"y":2087}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.92s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Mage Guard 1", distance:34, requiredRange:29, inWater:false
[170.92s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:13, max:40
[170.92s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_fortitude", required:15, current:15, max:60
[170.92s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"mage_radiant_aura", required:18, current:15, max:60
[170.92s]  undefined | type:"ENEMY_AI_TARGET", enemy:"warrior", decision:"outpost_focus", target:"Flag 6", targetOwner:"player", distance:216
[170.92s]  undefined | type:"MANA_STARVED", unit:"mage", kind:"enemy", ability:"heal_burst", required:18, current:5, max:40
[170.92s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"ward_barrier", required:22, current:17, max:40
[170.94s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4348,"y":2025}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.95s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4349,"y":2023}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.95s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4349,"y":2024}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.95s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"dps_attack_host", target:"mage", targetType:"enemy", distance:32
[170.97s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4346,"y":2024}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.97s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Mage 508", distance:50, hp:50, mana:6, speed:110
[170.97s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4350,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.97s]  undefined | type:"CREATURE_AI_STATE", creature:"goblin", boss:false, hp:50, target:"knight", distance:30, hitCd:"0.00", attacked:true
[171.00s]  undefined | type:"MANA_STARVED", unit:"Mage 773", kind:"friendly", ability:"cleanse_wave", required:14, current:8, max:60
[171.00s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 236", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:4, hp:74, mana:5, speed:110
[171.00s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:52, mana:18, speed:110
[171.00s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:14, max:40
[171.02s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:0.53, hpBefore:100, hpAfter:99, hpPercent:50
[171.02s]  undefined | type:"MANA_STARVED", unit:"Mage 773", kind:"friendly", ability:"heal_burst", required:18, current:8, max:60
[171.02s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4346,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.02s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"knight", distance:32, requiredRange:30, inWater:false
[171.03s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"slash", required:4, current:4, max:40
[171.05s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4349,"y":2021}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.05s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:6, max:40
[171.05s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"healer_support_position", target:"warden", targetType:"enemy", distance:32
[171.05s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"mage", distance:34, requiredRange:30, inWater:false
[171.07s]  undefined | type:"MANA_STARVATION", unit:"Warrior Guard 3", ability:"warrior_cleave", required:9, current:3, reason:"damage_rotation"
[171.07s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Mage 508", distance:51, hp:50, mana:7, speed:110
[171.07s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"piercing_lance", required:16, current:15, reason:"damage_rotation"
[171.07s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:137, intactWalls:4, nearbyHostiles:1
[171.07s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_cleave", required:9, current:4, max:40
[171.10s]  undefined | type:"MANA_STARVED", unit:"mage", kind:"enemy", ability:"ward_barrier", required:22, current:17, max:40
[171.10s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_life_leech", required:8, current:2, reason:"damage_rotation"
[171.10s]  undefined | type:"ENEMY_AI_STATE", enemy:"knight", role:"TANK", hp:239, mana:15, position:{"x":945,"y":2350}, speed:77, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:70, hasSpawnTarget:true, team:"teamA"
[171.12s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 508", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:115, hp:50, mana:5, speed:110
[171.12s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_fortitude", required:15, current:0, max:40
[171.13s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4349,"y":2023}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.13s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 508", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:50, hp:50, mana:5, speed:110
[171.13s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 6", side:"South", wallHP:141, distance:133, intactWalls:4, nearbyHostiles:1
[171.15s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4353,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.15s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4349,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.15s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:51, hp:43, mana:8, speed:110
[171.15s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_cleave", required:9, current:5, max:40
[171.20s]  undefined | type:"TANK_AI_START", tank:"Warden 236", position:{"x":4353,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.20s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4354,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.20s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"warden", distance:32, requiredRange:30, inWater:false
[171.20s]  undefined | type:"ENEMY_AI_STATE", enemy:"warden", role:"TANK", hp:241, mana:40, position:{"x":4907,"y":1419}, speed:65, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:32, hasSpawnTarget:true, team:"teamC"
[171.22s]  undefined | type:"MANA_STARVED", unit:"Mage Guard 1", kind:"friendly", ability:"heal_burst", required:18, current:11, max:60
[171.22s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 508", role:"HEALER", decision:"follow_ally", target:"Mage 320", distance:50, hp:50, mana:6, speed:110
[171.22s]  undefined | type:"MANA_STARVATION", unit:"mage", ability:"heal_burst", required:18, current:7, reason:"healer_priority"
[171.22s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 6", side:"South", wallHP:141, distance:144, intactWalls:4, nearbyHostiles:1
[171.23s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1358, hp:63, mana:13, speed:110
[171.27s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 835", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:7, hp:52, mana:20, speed:110
[171.27s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:145, intactWalls:4, nearbyHostiles:1
[171.27s]  undefined | type:"MANA_STARVED", unit:"mage", kind:"enemy", ability:"ward_barrier", required:22, current:1, max:40
[171.27s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"dps_attack_host", target:"mage", targetType:"enemy", distance:32
[171.27s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"mage", distance:34, requiredRange:30, inWater:false
[171.27s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:135, intactWalls:4, nearbyHostiles:1
[171.28s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:0.53, hpBefore:91, hpAfter:91, hpPercent:45
[171.28s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:9, hp:52, mana:23, speed:110
[171.28s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4355,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.28s]  undefined | type:"MANA_STARVED", unit:"Mage 508", kind:"friendly", ability:"mage_divine_touch", required:16, current:7, max:60
[171.28s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 2", targetOwner:"teamB", distance:218
[171.28s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"cleave", required:10, current:6, max:40
[171.30s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4350,"y":2018}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.30s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:6, reason:"damage_rotation"
[171.32s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:145, intactWalls:4, nearbyHostiles:1
[171.33s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1360, hp:63, mana:14, speed:110
[171.33s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2134}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.33s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"healer_attack_safe", target:"warden", targetType:"enemy", distance:35
[171.33s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_fortitude", required:15, current:1, max:40
[171.35s]  undefined | type:"MANA_STARVATION", unit:"Warrior 894", ability:"warrior_cleave", required:9, current:8, reason:"damage_rotation"
[171.35s]  undefined | type:"ENEMY_AI_TARGET", enemy:"mage", decision:"outpost_focus", target:"Flag 4", targetOwner:"teamC", distance:217
[171.35s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"North", wallHP:200, distance:139, intactWalls:4, nearbyHostiles:1
[171.38s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:52, mana:24, speed:110
[171.38s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 894", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:410, hp:63, mana:8, speed:110
[171.38s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 359", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:34, hp:81, mana:21, speed:110
[171.40s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"cleave", required:10, current:6, reason:"damage_rotation"
[171.42s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4319,"y":2142}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[171.42s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:4, reason:"damage_rotation"
[171.42s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 2", side:"North", wallHP:200, distance:142, intactWalls:4, nearbyHostiles:1
