Debug Diagnostic Log
========================================================================================================================
Generated: 1/6/2026, 2:33:00 PM
Total Events: 32863
Game Time: 184s

CURRENT STATE:
  Player Level: 3
  Player HP: 239/239
  Player Mana: 118/118
  Player Stamina: 128/128
  Player Shield: 0 (cap: 239)
  Base Player MaxMana: 70
  Stat Spends: {"vit":0,"int":0,"str":0,"def":0,"agi":0}


======================================== undefined ========================================
[177.80s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:17, max:40
[177.88s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2486,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.88s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1047, hp:90, mana:32, speed:77
[177.88s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:25, hp:144, mana:27, speed:95
[177.90s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2476,"y":1372}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.90s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2482,"y":1379}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.90s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:37, requiredRange:30, inWater:false
[177.90s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:18, hp:135, mana:38, speed:95
[177.93s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:63, hp:276, mana:13, speed:65
[177.95s]  undefined | type:"TANK_DECISION", tank:"Warden 69", decision:"capture_objective", target:"Flag 4", hasPosition:true
[177.95s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2481,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.95s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2481,"y":1374}, distance:302
[177.95s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:53, requiredRange:30, inWater:false
[177.95s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:505, hp:327, mana:22, speed:77
[177.95s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:21, hp:113, mana:15, speed:95
[177.95s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:802, hp:417, mana:40, speed:65
[177.96s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2485,"y":1379}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.96s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2476,"y":1372}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.96s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2484,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[177.96s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1120, hp:126, mana:40, speed:65
[177.96s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:801, hp:417, mana:40, speed:65
[178.00s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2476,"y":1372}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.00s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.00s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"mage", target:"Warrior 492", distance:484, requiredRange:29, inWater:false
[178.00s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:35, hp:136, mana:18, speed:77
[178.01s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:634, hp:327, mana:26, speed:77
[178.01s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:33, hp:132, mana:17, speed:95
[178.01s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:23, hp:144, mana:28, speed:95
[178.01s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:23, hp:135, mana:39, speed:95
[178.01s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"warrior", distance:32, requiredRange:30, inWater:false
[178.03s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2481,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.03s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2475,"y":1374}, distance:303
[178.03s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:95, hp:327, mana:12, speed:77
[178.03s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:1062, hp:255, mana:40, speed:90
[178.06s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.26, hpBefore:18, hpAfter:18, hpPercent:9
[178.06s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:94, hp:327, mana:12, speed:77
[178.10s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2488,"y":1379}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.10s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:39, hp:313, mana:11, speed:77
[178.10s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:24, hp:135, mana:40, speed:95
[178.10s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"warcry", required:12, current:6, max:40
[178.13s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.13s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:505, hp:327, mana:23, speed:77
[178.13s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:148, mana:4, speed:77
[178.15s]  undefined | type:"WALL_DAMAGE", site:"Flag 5", side:"East", attackers:1, attackerList:"warden(TANK)", roleCounts:{"TANK":1}, damage:0.13, hpBefore:17, hpAfter:17, hpPercent:9
[178.15s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:88, hp:415, mana:5, speed:77
[178.15s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"warrior_fortitude", required:15, current:5, max:40
[178.18s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 69", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2485,"y":1378}, distance:306
[178.18s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:302, hp:80, mana:47, speed:110
[178.18s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:88, hp:415, mana:5, speed:77
[178.18s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:505, hp:327, mana:23, speed:77
[178.18s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:148, mana:4, speed:77
[178.20s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1377}, distance:305
[178.20s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"attack_enemy", target:"Warrior Guard 3", distance:32, hp:136, mana:6, speed:90
[178.23s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2485,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.23s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 497", role:"HEALER", decision:"support_allies", target:"Warrior 492", distance:53, hp:50, mana:60, speed:110
[178.23s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 708", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2477,"y":1372}, distance:301
[178.23s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 271", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2477,"y":1375}, distance:304
[178.26s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:302, hp:80, mana:48, speed:110
[178.26s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:13, max:40
[178.29s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:96, hp:415, mana:6, speed:77
[178.29s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:1064, hp:255, mana:40, speed:90
[178.31s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1378}, distance:306
[178.31s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2481,"y":1378}, distance:306
[178.31s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Warrior Guard 5", distance:619, requiredRange:29, inWater:false
[178.31s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"knight_shield_wall", required:16, current:5, max:40
[178.31s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:1061, hp:255, mana:40, speed:90
[178.31s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"attack_enemy", target:"Warrior Guard 3", distance:31, hp:136, mana:6, speed:90
[178.34s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1377}, distance:305
[178.34s]  undefined | type:"TANK_DECISION", tank:"Knight 271", decision:"capture_objective", target:"Flag 4", hasPosition:true
[178.34s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Warrior Guard 5", distance:615, requiredRange:29, inWater:false
[178.34s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:8, speed:77
[178.38s]  undefined | type:"MANA_STARVED", unit:"Mage Guard 1", kind:"friendly", ability:"cleanse_wave", required:14, current:14, max:60
[178.38s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:304, hp:80, mana:49, speed:110
[178.38s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:136, mana:20, speed:77
[178.38s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:25, hp:135, mana:40, speed:95
[178.38s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warrior", target:"knight", distance:57, requiredRange:30, inWater:false
[178.39s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2478,"y":1376}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.39s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:102, hp:327, mana:7, speed:77
[178.39s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:44, hp:313, mana:13, speed:77
[178.41s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 492", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:233, hp:63, mana:13, speed:110
[178.41s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:658, hp:327, mana:26, speed:77
[178.44s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 988", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2478,"y":1375}, distance:304
[178.44s]  undefined | type:"MANA_STARVED", unit:"warden", kind:"enemy", ability:"ward_barrier", required:22, current:16, max:40
[178.46s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2477,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.46s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:27, hp:144, mana:31, speed:95
[178.46s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:201, mana:8, speed:77
[178.48s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:39, requiredRange:30, inWater:false
[178.48s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:27, hp:144, mana:31, speed:95
[178.48s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"attack_wall", target:"Flag 5 wall", distance:0, hp:210, mana:40, speed:65
[178.51s]  undefined | type:"MANA_STARVED", unit:"Mage Guard 2", kind:"friendly", ability:"cleanse_wave", required:14, current:10, max:60
[178.51s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 708", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:304, hp:80, mana:49, speed:110
[178.51s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warden 988", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:305, hp:102, mana:60, speed:110
[178.51s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:201, mana:9, speed:77
[178.53s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 271", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:304, hp:80, mana:49, speed:110
[178.53s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:17, hp:135, mana:40, speed:95
[178.56s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warrior", role:"DPS", decision:"capture_objective", target:"Flag 6", distance:1060, hp:255, mana:40, speed:90
[178.58s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 664", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2483,"y":1376}, distance:304
[178.58s]  undefined | type:"TANK_AI_START", tank:"Warden 988", position:{"x":2485,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.59s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2476,"y":1373}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.59s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:63, hp:327, mana:15, speed:77
[178.59s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1120, hp:126, mana:40, speed:65
[178.59s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:0, hp:327, mana:9, speed:77
[178.59s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"knight", distance:83, requiredRange:30, inWater:false
[178.59s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:4, reason:"damage_rotation"
[178.63s]  undefined | type:"MANA_STARVED", unit:"Warrior 492", kind:"friendly", ability:"mage_radiant_aura", required:18, current:14, max:60
[178.63s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2480,"y":1375}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.63s]  undefined | type:"MANA_STARVATION", unit:"Warrior 86", ability:"slash", required:4, current:0, reason:"damage_rotation"
[178.66s]  undefined | type:"TANK_AI_START", tank:"Knight 664", position:{"x":2479,"y":1377}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.66s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2488,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.66s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 708", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2488,"y":1378}, distance:306
[178.66s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 271", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2488,"y":1379}, distance:307
[178.66s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"attack_wall", target:"Flag 2 wall", distance:125, hp:95, mana:38, speed:77
[178.66s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:666, hp:327, mana:27, speed:77
[178.66s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"warcry", required:12, current:6, max:40
[178.67s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Warden 69", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2475,"y":1372}, distance:301
[178.67s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"attack_wall", target:"Flag 2 wall", distance:123, hp:95, mana:38, speed:77
[178.67s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:42, hp:144, mana:13, speed:77
[178.67s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"attack_wall", target:"Flag 5 wall", distance:0, hp:206, mana:40, speed:65
[178.71s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 664", role:"TANK", decision:"capture_objective", target:"Flag 4", distance:304, hp:80, mana:50, speed:110
[178.71s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2475,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.71s]  undefined | type:"TANK_OBJECTIVE_SET", tank:"Knight 271", objective:"Flag 4", objectivePos:{"x":2516,"y":1074}, tankPos:{"x":2486,"y":1378}, distance:305
[178.71s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:102, hp:415, mana:8, speed:77
[178.71s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1048, hp:70, mana:20, speed:77
[178.71s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"capture_objective", target:"Flag 2", distance:1120, hp:126, mana:40, speed:65
[178.71s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:32, hp:201, mana:10, speed:77
[178.71s]  undefined | type:"ENEMY_CONTACT_ATTACK", attacker:"knight", attackerRole:"TANK", target:"knight", targetType:"enemy", distance:26, damage:59, targetHP:313
[178.74s]  undefined | type:"TANK_AI_START", tank:"Warden 69", position:{"x":2483,"y":1378}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.74s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 86", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:243, hp:63, mana:1, speed:110
[178.74s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 736", role:"HEALER", decision:"support_allies", target:"Warrior 86", distance:54, hp:50, mana:60, speed:110
[178.74s]  undefined | type:"TANK_AI_START", tank:"Knight 271", position:{"x":2481,"y":1379}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.74s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:60, hp:327, mana:15, speed:77
[178.74s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:102, hp:415, mana:8, speed:77
[178.74s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"knight", distance:102, requiredRange:30, inWater:false
[178.74s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 5", distance:666, hp:327, mana:27, speed:77
[178.74s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"capture_objective", target:"Flag 6", distance:47, hp:148, mana:7, speed:77
[178.74s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"mage", role:"HEALER", decision:"support_allies", target:"Maintaining position", distance:30, hp:144, mana:33, speed:95
[178.77s]  undefined | type:"TANK_AI_START", tank:"Knight 708", position:{"x":2480,"y":1374}, closestObjective:"Flag 4", closestObjectivePos:{"x":2516,"y":1074}, wallTarget:"YES", initialDecision:"idle"
[178.77s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:5, reason:"damage_rotation"
