Combat Event Log
====================================================================================================
Generated: 1/7/2026, 12:57:19 PM
Total Events: 96
Game Time: 158s

[48.46s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[69.27s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 86.12 → 64.76
[69.93s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 65.68 → 44.32
[70.59s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 45.25 → 23.89
[71.27s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 24.84 → 3.48
[71.95s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 38.54 → 17.18
[72.62s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 86.30 → 64.95
[73.28s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 65.88 → 44.52
[73.95s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 79.55 → 58.19
[75.19s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[75.86s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[76.52s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[77.19s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[77.85s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[78.51s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[79.41s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[80.07s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[80.74s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[81.40s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[82.08s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[82.74s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[83.40s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[84.09s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[84.75s]     DAMAGE: Player took 2.91 HP (raw: 22.00, shield: 19.00, block: 0.00, def: 0.09) | HP: 107.41 → 104.50
[85.41s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 105.43 → 84.07
[86.08s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[86.74s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[87.41s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[88.07s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[88.73s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[89.38s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[90.05s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[90.72s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[91.38s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[92.05s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[92.71s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[93.36s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[94.03s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[94.70s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[95.36s]     DAMAGE: Player took 2.91 HP (raw: 22.00, shield: 19.00, block: 0.00, def: 0.09) | HP: 98.92 → 96.01
[96.03s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 97.01 → 75.65
[96.68s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 76.63 → 55.28
[97.35s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 90.38 → 69.02
[98.00s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[98.66s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[99.31s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[100.44s]    SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[101.09s]    SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[101.76s]    SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[102.41s]    SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[119.12s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[119.78s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[120.46s]    DAMAGE: Player took 8.74 HP (raw: 59.00, shield: 50.00, block: 0.00, def: 0.26) | HP: 184.00 → 175.26
[121.13s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[121.79s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[122.45s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[123.11s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[123.78s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[124.44s]    DAMAGE: Player took 40.78 HP (raw: 59.00, shield: 17.00, block: 0.00, def: 1.22) | HP: 184.00 → 143.22
[125.10s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 139.86 → 82.58
[125.76s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 84.76 → 27.48
[126.44s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 58.58 → 1.29
[127.10s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 102.25 → 44.97
[127.76s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[128.44s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[129.11s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[129.77s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[130.43s]    SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[132.35s]    DAMAGE: Player took 50.49 HP (raw: 59.00, shield: 7.00, block: 0.00, def: 1.51) | HP: 68.06 → 17.58
[133.01s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 54.08 → 0.00
[141.38s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 184.00 → 138.37
[141.38s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 138.37 → 92.74
[141.61s]    DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 127.57 → 70.29
[142.06s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 90.92 → 45.29
[142.06s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 45.29 → 0.00
[147.22s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 154.16 → 108.53
[147.90s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 111.21 → 65.58
[148.58s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 82.36 → 36.73
[148.68s]    DAMAGE: Player took 45.63 HP (raw: 47.00, shield: 0.00, block: 0.00, def: 1.37) | HP: 37.20 → 0.00

====================================================================================================
END OF LOG
